"Generation","Name","Strong''s #","Lifespan Years","Parent(s)"
1,"'Eth-'Ha'adham","H120",930,"God"
2,"Seth","H8352",912,"'Eth-'Ha'adham"
2,"Cain","H7014",NULL,"Eve"
3,"Enos","H583",905,"Seth"
3,"Enoch","H2585",NULL,"Cain"
4,"Cainan","H7018",910,"Enos"
4,"Irad","H5897",NULL,"Enoch"
5,"Mahalaleel","H4111",895,"Cainan"
5,"Mehujael","H4232",NULL,"Irad"
6,"Methusael","H4967",NULL,"Mehujael"
6,"Jared","H3382",962,"Mahalaleel"
7,"Enoch","H2585",365,"Jared"
7,"Lamech","H3929",NULL,"Methusael"
8,"Jabal","H2989",NULL,"Lamech & Adah"
8,"Tubalcain","H8423",NULL,"Lamech & Zillah"
8,"Naamah","H5279",NULL,"Lamech & Zillah"
8,"Methuselah","H4968",969,"Enoch"
8,"Jubal","H3106",NULL,"Lamech & Adah"
9,"Lamech","H3929",777,"Methuselah"
10,"Noah","H5146",950,"Lamech"
