"Generation","Name","Gender","Age When Child Was Begotten","Lifespan Years","Citation: Begat","Citation: Lifespan"
1,"'Eth-'Ha'adham (a.k.a. Adam)","M",130,930,"Genesis 5:3","Genesis 5:3-4 (130+800=930years)"
2,"Seth","M",105,912,"Genesis 5:6","Genesis 5:6-8 (105+807=912years)"
3,"Enos","M",90,905,"Genesis 5:9","Genesis 5:9-10 (90+815=905years)"
4,"Cainan","M",70,910,"Genesis 5:12","Genesis 5:12-14 (70+840=910years)"
5,"Mahalaleel","M",65,895,"Genesis 5:15","Genesis 5:15-17 (65+830=895years)"
6,"Jared","M",162,962,"Genesis 5:18","Genesis 5:18-20 (162+800=962years)"
7,"Enoch","M",65,365,"Genesis 5:21","Genesis 5:21-23 (65+300=365years)"
8,"Methuselah","M",187,969,"Genesis 5:25","Genesis 5:25-27 (187+782=969years)"
9,"Lamech","M",182,777,"Genesis 5:28","Genesis 5:28-31 (182+595=777years)"
10,"Noah","M",500,950,"Genesis 5:32 (500years)","Genesis 9:29 (950years)"
11,"Shem","M",100,600,"Genesis 11:10","Genesis 11:10-11 (100+500=600years)"
12,"Arphaxad","M",35,438,"Genesis 11:12","Genesis 11:12-13 (35+403=438years)"
13,"Cainan","M",NULL,NULL,NULL,NULL
14,"Salah","M",30,433,"Genesis 11:14","Genesis 11:14-15 (30+403=433years)"
15,"Eber","M",34,464,"Genesis 11:16","Genesis 11:16-17 (34+430=464years)"
16,"Peleg","M",30,239,"Genesis 11:18","Genesis 11:18-19 (30+209=239years)"
17,"Reu","M",32,239,"Genesis 11:20","Genesis 11:20-21 (32+207=239years)"
18,"Serug","M",30,230,"Genesis 11:22","Genesis 11:22-23 (30+200=230years)"
19,"Nahor","M",29,148,"Genesis 11:24","Genesis 11:24-25 (29+119=148years)"
20,"Terah","M",70,205,"Genesis 11:26 (70years)","Genesis 11:32 (205years)"
21,"Abraham (a.k.a. Abram)","M",100,175,"Genesis 21:5 (100years)","Genesis 25:7 (175years)"
22,"Isaac","M",60,180,"Genesis 25:26 (60years)","Genesis 35:28 (180years)"
23,"Jacob (a.k.a. Israel)","M",NULL,147,NULL,"Genesis 47:28 (147years)"
24,"Judah","M",NULL,NULL,NULL,NULL
25,"Pharez","M",NULL,NULL,NULL,NULL
26,"Hezron","M",NULL,NULL,NULL,NULL
27,"Ram","M",NULL,NULL,NULL,NULL
28,"Amminadab","M",NULL,NULL,NULL,NULL
29,"Nahshon","M",NULL,NULL,NULL,NULL
30,"Salmon","M",NULL,NULL,NULL,NULL
31,"Boaz","M",NULL,NULL,NULL,NULL
32,"Obed","M",NULL,NULL,NULL,NULL
33,"Jesse","M",NULL,NULL,NULL,NULL
34,"David, King of Israel (Undivided Kingdom)","M",NULL,70,NULL,"2 Samuel 5:3-4 (30+40=70years), 1 Kings 2:10-11 (40yearsasking)"
