"Generation","Name","Gender","Parent","Age When Child Was Born","Lifespan Years","Citation"
35,"Nathan","M","David",NULL,NULL,"2 Samuel 5:13-14, Luke 3:31"
36,"Mattatha","M","Nathan",NULL,NULL,"Luke 3:31"
37,"Menan","M","Mattatha",NULL,NULL,"Luke 3:31"
38,"Melea","M","Menan",NULL,NULL,"Luke 3:31"
39,"Eliakim","M","Melea",NULL,NULL,"Luke 3:30-31"
40,"Jonan","M","Eliakim",NULL,NULL,"Luke 3:30"
41,"Joseph","M","Jonan",NULL,NULL,"Luke 3:30"
42,"Juda","M","Joseph",NULL,NULL,"Luke 3:30"
43,"Simeon","M","Juda",NULL,NULL,"Luke 3:30"
44,"Levi","M","Simeon",NULL,NULL,"Luke 3:29-30"
45,"Matthat","M","Levi",NULL,NULL,"Luke 3:29"
46,"Jorim","M","Matthat",NULL,NULL,"Luke 3:29"
47,"Eliezer","M","Jorim",NULL,NULL,"Luke 3:29"
48,"Jose","M","Eliezer",NULL,NULL,"Luke 3:29"
49,"Er","M","Jose",NULL,NULL,"Luke 3:28-29"
50,"Elmodam","M","Er",NULL,NULL,"Luke 3:28"
51,"Cosam","M","Elmodam",NULL,NULL,"Luke 3:28"
52,"Addi","M","Cosam",NULL,NULL,"Luke 3:28"
53,"Melchi","M","Addi",NULL,NULL,"Luke 3:28"
54,"Neri","M","Melchi",NULL,NULL,"Luke 3:27-28"
55,"Salathiel","M","Neri",NULL,NULL,"Luke 3:27"
56,"Zorobabel","M","Salathiel",NULL,NULL,"Luke 3:27"
57,"Rhesa","M","Zorobabel",NULL,NULL,"Luke 3:27"
58,"Joanna","M","Rhesa",NULL,NULL,"Luke 3:27"
59,"Juda","M","Joanna",NULL,NULL,"Luke 3:26-27"
60,"Joseph","M","Juda",NULL,NULL,"Luke 3:26"
61,"Semei","M","Joseph",NULL,NULL,"Luke 3:26"
62,"Mattathias","M","Semei",NULL,NULL,"Luke 3:26"
63,"Maath","M","Mattathias",NULL,NULL,"Luke 3:26"
64,"Nagge","M","Maath",NULL,NULL,"Luke 3:25-26"
65,"Esli","M","Nagge",NULL,NULL,"Luke 3:25"
66,"Naum","M","Esli",NULL,NULL,"Luke 3:25"
67,"Amos","M","Naum",NULL,NULL,"Luke 3:25"
68,"Mattathias","M","Amos",NULL,NULL,"Luke 3:25"
69,"Joseph","M","Mattathias",NULL,NULL,"Luke 3:24-25"
70,"Janna","M","Joseph",NULL,NULL,"Luke 3:24"
71,"Melchi","M","Janna",NULL,NULL,"Luke 3:24"
72,"Levi","M","Melchi",NULL,NULL,"Luke 3:24"
73,"Matthat","M","Levi",NULL,NULL,"Luke 3:24"
74,"Heli","M","Matthat",NULL,NULL,"Luke 3:23-24"
