"Generation","Name","Gender","Age When Child Was Born","Lifespan Years","Age Before Becoming King","Years as King","Documentation"
35,"Solomon, King of Israel (Undivided Kingdom)","M",NULL,NULL,NULL,"40","2 Samuel 12:24, 1 Kings 11:42 (40years), 1 Chronicles 3:10, 2 Chronicles 9:30 (40years), Matthew 1:6"
36,"Rehoboam, King of Judah","M",NULL,NULL,"41","17","1 Kings 11:43, 1 Kings 14:21 (41years&17years), 1 Chronicles 3:10,  Matthew 1:7"
37,"Abijah, King of Judah","M",NULL,NULL,NULL,"3","1 Chronicles 3:10, 2 Chronicles 11:17 (3years), 2 Chronicles 13:1-2 (3years), Matthew 1:7"
38,"Asa, King of Judah","M",NULL,NULL,NULL,"41","1 Kings 15:8-10 (41years), 1 Chronicles 3:10, 2 Chronicles 14:1, Matthew 1:7"
39,"Jehoshaphat, King of Judah","M",NULL,NULL,"35","25","1 Kings 15:24, 1 Kings 22:41-42 (35years&25years), 1 Chronicles 3:10, 2 Chronicles 20:31-32 (35years&25years), Matthew 1:8"
40,"Jehoram (a.k.a. Joram in 1 Ch. 3:11), King of Judah","M",NULL,NULL,"32","8","2 Kings 1:17, 2 Kings 8:17 (32years&8years), 1 Chronicles 3:10-11, 2 Chronicles 21:16-20 (32years&8years), Matthew 1:8"
41,"Uzziah (a.k.a. Ahaziah in 1 Ch. 3:11), King of Judah","M",NULL,NULL,"16","52","2 Kings 15:2 (16years&52years), 1 Chronicles 3:11, 2 Chronicles 26:3 (16years&52years), Matthew 1:8"
42,"Jotham, King of Judah","M",NULL,NULL,"25","16","2 Kings 15:32-33 (25years&16years), 2 Chronicles 27:1 (25years&16years), Matthew 1:9"
43,"Ahaz, King of Judah","M",NULL,NULL,"20","16","2 Kings 15:38, 2 Kings 16:1-2 (20years&16years), 2 Chronicles 27:9, 2 Chronicles 28:1 (20years&16years), Matthew 1:9"
44,"Hezekiah, King of Judah","M",NULL,NULL,"25","29","2 Kings 16:20, 2 Kings 18:1-2 (25years&29years), 1 Chronicles 3:13, 2 Chronicles 28:27, 2 Chronicles 29:1 (25years&29years), Matthew 1:9"
45,"Manasseh, King of Judah","M",NULL,NULL,"12","55","2 Kings 21:1 (12years&55years), 1 Chronicles 3:13, 2 Chronicles 33:1 (12years&55years), Matthew 1:10"
46,"Amon, King of Judah","M",NULL,NULL,"22","2","2 Kings 21:19-20 (22years&2years), 1 Chronicles 3:13-14, 2 Chronicles 33:21 (22years&2years), Matthew 1:10"
47,"Josiah, King of Judah","M",NULL,NULL,"8","31","2 Kings 22:1 (8years&31years), 1 Chronicles 3:14, 2 Chronicles 34:1 (8years&31years), Matthew 1:10"
48,"Jeconiah (a.k.a. Jehoiachin), King of Judah","M",NULL,NULL,"Either 8 or 18. He became king in 597BC.","3months & 10days","2 Kings 24:6, 2 Kings 24:8 (18yearsold, 3monthreign), 2 Kings 24:12 (Nebuchadnezzar II's 8th year), 1 Chronicles 3:15-16, 2 Chronicles 36:9 (8yearsold, 3month+10dayreign), Matthew 1:11"
49,"Salathiel","M",NULL,NULL,NULL,NULL,"1 Chronicles 3:17, Matthew 1:12"
50,"Zorobabel, Governer of Judah","M",NULL,NULL,NULL,NULL,"Ezra 3:2, Haggai 1:1, Matthew 1:12"
51,"Abiud",NULL,NULL,NULL,NULL,NULL,"Matthew 1:13, Strong's Greek # 10 (locative noun)"
52,"Eliakim","M",NULL,NULL,NULL,NULL,"Matthew 1:13, Strong's Greek # 1662 (masculine noun)"
53,"Azor","M",NULL,NULL,NULL,NULL,"Matthew 1:13, Strong's Greek # 107 (masculine noun)"
54,"Sadoc","M",NULL,NULL,NULL,NULL,"Matthew 1:14, Strong's Greek # 4524 (masculine noun)"
55,"Achim","M",NULL,NULL,NULL,NULL,"Matthew 1:14, Strong's Greek # 885 (masculine noun)"
56,"Eliud","M",NULL,NULL,NULL,NULL,"Matthew 1:14, Strong's Greek # 1664 (masculine noun)"
57,"Eleazar","M",NULL,NULL,NULL,NULL,"Matthew 1:15, Strong's Greek # 1648 (masculine noun)"
58,"Matthan","M",NULL,NULL,NULL,NULL,"Matthew 1:15, Strong's Greek # 3157 (masculine noun)"
59,"Jacob","M",NULL,NULL,NULL,NULL,"Matthew 1:15, Strong's Greek # 2384 (masculine noun)"
60,"Joseph (Mary's Husband)","M",NULL,NULL,NULL,NULL,"Matthew 1:16"
