"generation","name","concordance_id","gender","gender_citation","parent","parent_citation","age_when_individual_begat_subsequent_child","begat_age_citation","lifespan_years","lifespan_citation"
1,"'Eth-'Ha'adham (a.k.a. Adam)","H120","M","Genesis 5:3","God","Genesis 2:7, Luke 3:38",130,"Genesis 5:3",930,"Genesis 5:3-4"
2,"Seth","H8352","M","Genesis 5:7","'Eth-'Ha'adham","1 Chronicles 1:1, Luke 3:38",105,"Genesis 5:6",912,"Genesis 5:6-8"
3,"Enos","H583","M","Genesis 5:10","Seth","1 Chronicles 1:1, Luke 3:38",90,"Genesis 5:9",905,"Genesis 5:9-10"
4,"Cainan","H7018","M","Genesis 5:13","Enos","Genesis 5:9, 1 Chronicles 1:2, Luke 3:37-38",70,"Genesis 5:12",910,"Genesis 5:12-14"
5,"Mahalaleel","H4111","M","Genesis 5:16","Cainan","Genesis 5:12, 1 Chronicles 1:2, Luke 3:37",65,"Genesis 5:15",895,"Genesis 5:15-17"
6,"Jared","H3382","M","Genesis 5:18","Mahalaleel","Genesis 5:15, 1 Chronicles 1:2, Luke 3:37",162,"Genesis 5:18",962,"Genesis 5:18-20"
7,"Enoch","H2585","M","Genesis 5:22","Jared","Genesis 5:18, 1 Chronicles 1:3, Luke 3:37",65,"Genesis 5:21",365,"Genesis 5:21-23"
8,"Methuselah","H4968","M","Genesis 5:27","Enoch","Genesis 5:21, 1 Chronicles 1:3, Luke 3:37",187,"Genesis 5:25",969,"Genesis 5:25-27"
9,"Lamech","H3929","M","Genesis 5:29","Methuselah","Genesis 5:25, 1 Chronicles 1:3, Luke 3:36-37",182,"Genesis 5:28",777,"Genesis 5:28-31"
10,"Noah","H5146","M","Genesis 5:29","Lamech","Genesis 5:30, 1 Chronicles 1:4, Luke 3:36",500,"Genesis 5:32",950,"Genesis 9:29"
11,"Shem","H8035","M","Genesis 11;11","Noah","Genesis 10:1, 1 Chronicles 1:4, Luke 3:36",100,"Genesis 11:10",600,"Genesis 11:10-11"
12,"Arphaxad","H775","M","Genesis 11:13","Shem","Genesis 10:22, 1 Chronicles 1:17, Luke 3:36",35,"Genesis 11:12",438,"Genesis 11:12-13"
